Climate type,AT2G16280,AT1G20330,AT3G05630,AT3G11170,AT3G11210,AT3G19260,AT3G56040,AT3G56080,AT4G11830,AT4G17600,AT4G23700,AT4G23710,AT5G16230,AT5G16240,AT5G22500,AT5G59590
Maximum Temperature of July,0.2762,0.9381,0.3542,0.9643,0.3556,0.2966,0.0166,0.1152,0.0021,0.0491,0.7466,0.0422,0.0332,0.719,0.4955,0.3481
Maximum Temperature of August,0.1755,0.7206,0.3762,0.98,0.4622,0.2456,0.0278,0.157,0.0006,0.0562,0.6607,0.0231,0.0189,0.5936,0.6098,0.356
Maximum Temperature of September,0.2262,0.5919,0.3801,0.7959,0.7626,0.1582,0.0579,0.2331,0.0001,0.1025,0.4156,0.0116,0.0105,0.5496,0.9428,0.411
Minimum Temperature of January,0.0824,0.1066,0.7245,0.898,0.2263,0.0357,0.2397,0.8678,0.0027,0.916,0.0392,0.0005,0.0221,0.9506,0.1625,0.716
Minimum Temperature of October,0.0984,0.2029,0.7602,0.9097,0.4523,0.0461,0.3766,0.5588,0.0002,0.5339,0.1951,0.0228,0.0302,0.6165,0.3563,0.6389
Minimum Temperature of November,0.1042,0.1512,0.5185,0.9732,0.2935,0.0926,0.7081,0.7368,0.0002,0.9128,0.1028,0.0144,0.0516,0.8282,0.2603,0.6791
Minimum Temperature of December,0.029,0.0437,0.645,0.8278,0.3062,0.0364,0.3112,0.5999,0.0013,0.7838,0.0527,0.006,0.0933,0.6252,0.2755,0.9216
Minimum Temperature of Februrary,0.0925,0.1207,0.6856,0.9789,0.2316,0.055,0.2847,0.9243,0.0012,0.9335,0.0464,0.0013,0.0217,0.9606,0.1352,0.6638
Minimum Temperature of March,0.1213,0.2637,0.8885,0.7895,0.2572,0.0742,0.7674,0.7442,0.0014,0.5318,0.0481,0.0107,0.0207,0.606,0.1739,0.4154
Minimum Temperature of April,0.3408,0.3306,0.6571,0.385,0.4088,0.1308,0.2658,0.5689,0.0001,0.5877,0.2089,0.2212,0.0426,0.846,0.2766,0.2602
Minimum Temperature of May,0.5527,0.4332,0.5508,0.1759,0.5734,0.1621,0.0091,0.6554,0.0003,0.4896,0.5833,0.6092,0.3222,0.7915,0.396,0.4074
Minimum Temperature of June,0.5494,0.5227,0.6779,0.3358,0.8594,0.1748,0.001,0.3037,0.0008,0.2534,0.9284,0.5655,0.4007,0.6918,0.6994,0.4695
Minimum Temperature of July,0.4274,0.568,0.9043,0.5584,0.9823,0.1214,0.0005,0.2689,0.0006,0.1197,0.8089,0.8692,0.2077,0.7418,0.7005,0.4543
Minimum Temperature of August,0.2365,0.3498,0.9162,0.7615,0.8659,0.099,0.0057,0.3138,0.0001,0.1347,0.6034,0.3092,0.0976,0.9233,0.5761,0.4606
Minimum Temperature of September,0.1628,0.2719,0.9084,0.8452,0.6131,0.0392,0.0452,0.5221,0.0001,0.2601,0.2651,0.0442,0.0307,0.6647,0.4204,0.6076
